🕘️更新时间,#genre#
2025-02-21 17:07:25,https://cdn5.163189.xyz/live/cctv1/stream.m3u8

📺央视频道,#genre#
CCTV-1,https://cdn5.163189.xyz/live/cctv1/stream.m3u8
CCTV-1,http://kkk.jjjj.jiduo.me/api.php?n=tttt&id=1244&tk=23a9aca1f79f
CCTV-1,http://211.101.234.24:866/aishang/migu.php/migu.php?id=cctv1
CCTV-1,http://42.227.91.217:9003/hls/1/index.m3u8
CCTV-1,http://222.67.177.132:12345/udp/239.45.3.145:5140
CCTV-1,http://112.123.206.32:808/hls/1/index.m3u8
CCTV-1,http://211.158.154.144:8002/udp/225.0.4.74:7980
CCTV-1,http://182.91.124.224:9901/tsfile/live/1037_1.m3u8?key=txiptv&playlive=0&authid=0
CCTV-1,http://221.226.4.10:9901/tsfile/live/0001_1.m3u8?key=txiptv&playlive=1&authid=0
CCTV-1,http://183.33.57.179:8686/udp/239.77.1.17:5146
CCTV-2,http://kkk.jjjj.jiduo.me/api.php?n=tttt&id=9127&tk=23a9aca1f79f
CCTV-2,http://211.101.234.24:866/aishang/migu.php/migu.php?id=cctv2
CCTV-2,http://42.227.91.217:9003/hls/2/index.m3u8
CCTV-2,http://222.67.177.132:12345/udp/239.45.1.109:5140
CCTV-2,http://112.123.206.32:808/hls/2/index.m3u8
CCTV-2,http://211.158.154.144:8002/udp/225.0.4.132:7980
CCTV-2,http://182.91.124.224:9901/tsfile/live/1038_1.m3u8?key=txiptv&playlive=0&authid=0
CCTV-2,http://221.226.4.10:9901/tsfile/live/0002_1.m3u8?key=txiptv&playlive=1&authid=0
CCTV-2,http://183.33.57.179:8686/udp/239.77.1.158:5146
CCTV-2,http://115.60.241.249:2000/rtp/225.1.4.74:1103
CCTV-3,http://kkk.jjjj.jiduo.me/api.php?n=tttt&id=6546&tk=23a9aca1f79f
CCTV-3,http://211.101.234.24:866/aishang/migu.php/migu.php?id=cctv3
CCTV-3,http://42.227.91.217:9003/hls/3/index.m3u8
CCTV-3,http://222.67.177.132:12345/udp/239.45.1.68:5140
CCTV-3,http://211.158.154.144:8002/udp/225.0.4.142:7980
CCTV-3,http://182.91.124.224:9901/tsfile/live/1039_1.m3u8?key=txiptv&playlive=0&authid=0
CCTV-3,http://183.33.57.179:8686/udp/239.77.0.169:5146
CCTV-3,http://115.60.241.249:2000/rtp/225.1.4.158:1194
CCTV-3,http://123.157.31.182:7912/rtp/233.50.201.196:5140
CCTV-3,http://114.240.224.31:3000/rtp/239.3.1.172:8001
CCTV-4,http://kkk.jjjj.jiduo.me/api.php?n=tttt&id=6511&tk=23a9aca1f79f
